operation,admin0Name,admin0Pcode,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,displacementReason,numberMales,numberFemales,idpOriginAdmin1Name,idpOriginAdmin1Pcode,assessmentType
Armed Clashes in Sudan (Overview),Sudan,SDN,2059824,2026-04-30T00:00:00,2026,4,35,Conflict,,,North Darfur,SD02,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,51786,2026-04-30T00:00:00,2026,4,35,Conflict,,,Sennar,SD14,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,268678,2026-04-30T00:00:00,2026,4,35,Conflict,,,North Kordofan,SD13,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,7394,2026-04-30T00:00:00,2026,4,35,Conflict,,,River Nile,SD16,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,16811,2026-04-30T00:00:00,2026,4,35,Conflict,,,White Nile,SD09,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,202849,2026-04-30T00:00:00,2026,4,35,Conflict,,,East Darfur,SD05,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,367327,2026-04-30T00:00:00,2026,4,35,Conflict,,,West Kordofan,SD18,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,125205,2026-04-30T00:00:00,2026,4,35,Conflict,,,Aj Jazirah,SD15,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,756542,2026-04-30T00:00:00,2026,4,35,Conflict,,,Central Darfur,SD06,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,275771,2026-04-30T00:00:00,2026,4,35,Conflict,,,Blue Nile,SD08,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,403250,2026-05-31T00:00:00,2026,5,36,Conflict,,,South Kordofan,SD07,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,288283,2026-05-31T00:00:00,2026,5,36,Conflict,,,North Kordofan,SD13,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,375117,2026-05-31T00:00:00,2026,5,37,Conflict,,,West Kordofan,SD18,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,2069123,2026-05-31T00:00:00,2026,5,37,Conflict,,,North Darfur,SD02,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,362104,2026-05-31T00:00:00,2026,5,37,Conflict,,,West Darfur,SD04,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,1866534,2026-05-31T00:00:00,2026,5,36,Conflict,,,Khartoum,SD01,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,1273,2026-05-31T00:00:00,2026,5,37,Conflict,,,Gedaref,SD12,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,2066306,2026-05-31T00:00:00,2026,5,36,Conflict,,,North Darfur,SD02,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,756984,2026-05-31T00:00:00,2026,5,36,Conflict,,,Central Darfur,SD06,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,6811,2026-05-31T00:00:00,2026,5,36,Conflict,,,Kassala,SD11,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,15459,2026-05-31T00:00:00,2026,5,37,Conflict,,,White Nile,SD09,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,282633,2026-05-31T00:00:00,2026,5,36,Conflict,,,Blue Nile,SD08,BA
