,,,, Sectoral Severity ,,,,,,,,,,,,, Humanitarian Condistions/Outcomes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,,,,,,,,,,,,,,,,, Life Threatening ,,, Irreversible Harm ,,"Final Results
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Site Management  , Education , Food Security and Livlihoods , Health  , Nutrition , Protection , Shelter NFI  , WASH , RCF , GBV , Mine Action , General Protection , Preliminary Severity based on overlap of sectoral deprivations , Mortality , Malnutrition , Epidemics , FSLA , HR/IHL Violation , Final Severity , Evidence & Comments , Changes severity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Darfur,SD05,Abu Jabrah,SD05140, 1 , 4 , 3 , 3 , 4 , 3 , 5 , 4 , 3 , -   , -   , -   , 4 , 2 , 4 , 3 , 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Darfur,SD05,Ad Du'ayn,SD05142, 4 , 4 , 3 , 3 , 3 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 , 3 , 4 , 3 , 3 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Darfur,SD05,Shia'ria,SD05148, 4 , 4 , 3 , 4 , 4 , 3 , 4 , 4 , 0 , -   , -   , -   , 4 ,, 4 , 2 , 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Darfur,SD05,Al Firdous,SD05152, 4 , 4 , 3 , 3 , 4 , 4 , 3 , 4 , 3 , -   , -   , -   , 4 , 3 , 4 , 1 , 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Darfur,SD05,Abu Karinka,SD05155, 2 , 4 , 3 , 3 , 4 , 4 , 4 , 4 , 3 , -   , -   , -   , 4 , 2 , 4 , 1 , 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Darfur,SD05,Bahr Al Arab,SD05160, 1 , 4 , 3 , 3 , 3 , 4 , 4 , 4 , 3 , -   , -   , -   , 4 , 3 , 3 , 1 , 3 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Darfur,SD05,Assalaya,SD05163, 1 , 4 , 3 , 3 , 4 , 4 , 3 , 4 , 2 , -   , -   , -   , 4 ,, 4 , 2 , 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Darfur,SD05,Yassin,SD05165, 1 , 4 , 3 , 3 , 4 , 4 , 3 , 4 , 3 , -   , -   , -   , 4 , 2 , 4 , 1 , 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Darfur,SD06,Azum,SD06110, 4 , 4 , 3 , 4 , 3 , 3 , 3 , 4 , 3 , -   , -   , -   , 4 , 2 , 3 , 3 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Darfur,SD06,Bendasi,SD06112, 4 , 4 , 3 , 3 , 4 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 , 2 , 4 ,, 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
