,,,," 47,704,781 ", -   ," 3,975,351 "," 10,462,976 "," 28,872,672 "," 20,986,071 "," 8,356,947 "," 22,420,698 "," 15,363,218 "," 27,092,138 "," 882,066 ", -   , -   , -   ,," 32,756,543 "," 33,699,770 ",,,
Location,,,,Populaton,, Clusters' PiN (Number) , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Total Population , Population Group , Site Management  , Education , Food Security and Livlihoods , Health  , Nutrition , Protection , Shelter NFI  , WASH , RCF , GBV , Mine Action , Child Protection ,Severity, Preliminary PiN , Final PiN with refugee , Evidence & Comments ,,
South Darfur,SD03,Nitega,SD03151," 29,005 ", IDPs ," 20,304 "," 10,477 "," 26,105 "," 23,204 "," 5,414 "," 14,503 "," 26,104 "," 26,105 ", -   ,,,,4," 26,105 "," 26,105 ", Yes ,,
South Darfur,SD03,Gereida,SD03153," 139,642 ", IDPs ," 69,821 "," 49,841 "," 125,678 "," 33,514 "," 26,068 "," 97,646 "," 125,677 "," 125,678 ", -   ,,,,4," 125,678 "," 125,678 ", Yes ,,
South Darfur,SD03,Shattaya,SD03154," 1,955 ", IDPs ," 1,369 ", 718 ," 1,760 "," 1,564 ", 365 , 978 ," 1,654 "," 1,760 ", -   ,,,,4," 1,760 "," 1,760 ", Yes ,,
South Darfur,SD03,As Sunta,SD03156," 101,130 ", IDPs ," 70,791 "," 17,013 "," 85,961 "," 24,271 "," 18,879 "," 70,371 "," 91,017 "," 91,017 ", -   ,,,,4," 91,017 "," 91,017 ", No ,,
South Darfur,SD03,Kubum,SD03157," 9,090 ", IDPs ," 6,363 "," 3,499 "," 8,181 "," 2,182 "," 1,696 "," 4,545 "," 8,181 "," 8,181 ", -   ,,,,4," 8,181 "," 8,181 ", Yes ,,
South Darfur,SD03,Rehaid Albirdi,SD03158," 30,685 ", IDPs ," 21,480 "," 11,648 "," 21,593 "," 3,682 "," 5,728 "," 21,272 "," 21,387 "," 21,593 ", -   ,,,,4," 21,593 "," 21,593 ", Yes ,,
South Darfur,SD03,Kateila,SD03159," 44,630 ", IDPs , -   ," 12,636 "," 40,167 "," 37,936 "," 8,331 "," 22,315 "," 31,879 "," 40,167 ", -   ,,,,4," 40,167 "," 40,167 ", Yes ,,
South Darfur,SD03,Buram,SD03161," 195,395 ", IDPs , -   ," 36,865 "," 167,493 "," 46,895 "," 36,476 "," 132,704 "," 155,557 "," 167,493 ", -   ,,,,4," 167,493 "," 167,493 ", Yes ,,
South Darfur,SD03,Beliel,SD03162," 473,818 ", IDPs ," 331,673 "," 145,282 "," 388,768 "," 224,419 "," 88,454 "," 329,497 "," 425,317 "," 426,436 ", -   ,,,,4," 426,436 "," 426,436 ", No ,,
South Darfur,SD03,Nyala Shimal,SD03164," 329,427 ", IDPs ," 164,714 "," 101,309 "," 234,454 "," 263,542 "," 61,499 "," 164,714 "," 226,481 "," 296,484 ", -   ,,,,4," 296,484 "," 296,484 ", No ,,
South Darfur,SD03,As Salam - SD,SD03166," 16,250 ", IDPs ," 8,125 "," 6,416 "," 8,370 "," 12,496 "," 3,034 "," 8,125 "," 11,250 "," 14,625 ", -   ,,,,4," 14,625 "," 14,625 ", No ,,
South Darfur,SD03,Nyala Janoub,SD03167," 79,632 ", IDPs , -   ," 26,995 "," 61,468 "," 63,706 "," 14,866 "," 55,549 "," 19,908 "," 63,706 ", -   ,,,,4," 63,706 "," 63,706 ", Yes ,,
South Darfur,SD03,Damso,SD03172," 7,530 ", IDPs , -   , 796 ," 1,279 "," 1,807 "," 1,406 "," 3,765 "," 6,372 "," 6,777 ", -   ,,,,3," 6,777 "," 6,777 ", No ,,
West Darfur,SD04,Beida,SD04111," 3,830 ", IDPs , -   ," 1,099 "," 2,668 ", 919 , 690 ," 1,915 ", 319 ," 3,447 ", -   ,,,,4," 3,447 "," 3,447 ", No ,,
West Darfur,SD04,Ag Geneina,SD04115," 117,670 ", IDPs ," 82,369 "," 25,195 "," 61,306 "," 51,285 "," 21,180 "," 82,192 "," 15,483 "," 105,903 ", -   ,,,,3," 105,903 "," 105,903 ", No ,,
West Darfur,SD04,Foro Baranga,SD04121," 24,550 ", IDPs , -   ," 9,154 "," 16,711 "," 15,098 "," 4,419 "," 12,068 "," 20,622 "," 22,095 ", -   ,,,,4," 22,095 "," 22,095 ", No ,,
West Darfur,SD04,Habila - WD,SD04122," 26,640 ", IDPs , -   ," 5,127 "," 15,401 "," 19,768 "," 4,795 "," 17,599 "," 22,644 "," 23,976 ", -   ,,,,4," 23,976 "," 23,976 ", No ,,
West Darfur,SD04,Jebel Moon,SD04123," 53,980 ", IDPs ," 37,786 "," 14,505 "," 48,582 "," 43,184 "," 9,717 "," 37,213 "," 38,236 "," 48,582 ", -   ,,,,4," 48,582 "," 48,582 ", Yes ,,
West Darfur,SD04,Kereneik,SD04125," 66,625 ", IDPs ," 46,638 "," 16,820 "," 56,825 "," 49,439 "," 11,993 "," 46,638 "," 47,193 "," 56,825 ", -   ,,,,4," 56,825 "," 56,825 ", Yes ,,
West Darfur,SD04,Kulbus,SD04127," 32,172 ", IDPs , -   ," 10,054 ", -   ," 7,721 "," 5,791 "," 16,086 "," 13,221 "," 22,295 ", -   ,,,,4," 22,295 "," 22,295 ", Yes ,,
West Darfur,SD04,Sirba,SD04134," 32,845 ", IDPs , -   ," 7,836 "," 28,365 "," 7,883 "," 5,912 "," 22,711 "," 10,414 "," 28,365 ", -   ,,,,4," 28,365 "," 28,365 ", Yes ,,
East Darfur,SD05,Adila,SD05139," 53,737 ", IDPs ," 26,869 "," 15,985 "," 18,942 ", -   ," 10,032 "," 26,657 "," 16,420 "," 26,869 ", -   ,,,,4," 26,869 "," 26,869 ", Yes ,,
East Darfur,SD05,Abu Jabrah,SD05140," 45,425 ", IDPs , -   ," 13,894 "," 40,883 "," 20,821 "," 8,480 "," 22,389 "," 40,882 "," 40,883 ", -   ,,,,4," 40,883 "," 40,883 ", Yes ,,
East Darfur,SD05,Ad Du'ayn,SD05142," 218,805 ", IDPs ," 153,164 "," 66,577 "," 181,455 "," 100,291 "," 40,847 "," 152,854 "," 185,984 "," 185,984 ", -   ,,,,4," 185,984 "," 185,984 ", Yes ,,
East Darfur,SD05,Shia'ria,SD05148," 203,610 ", IDPs ," 142,527 "," 41,908 "," 169,363 "," 64,308 "," 38,011 "," 98,550 "," 141,557 "," 183,249 ", -   ,,,,4," 183,249 "," 183,249 ", No ,,
East Darfur,SD05,Al Firdous,SD05152," 59,700 ", IDPs ," 41,790 "," 2,061 "," 49,336 "," 50,745 "," 11,145 "," 38,214 "," 17,910 "," 53,730 ", -   ,,,,4," 53,730 "," 53,730 ", No ,,
East Darfur,SD05,Abu Karinka,SD05155," 45,603 ", IDPs , -   ," 14,720 "," 41,043 "," 16,964 "," 8,513 "," 31,922 "," 40,019 "," 41,043 ", -   ,,,,4," 41,043 "," 41,043 ", Yes ,,
East Darfur,SD05,Bahr Al Arab,SD05160," 67,220 ", IDPs , -   ," 20,153 "," 56,337 "," 16,939 "," 12,549 "," 32,309 "," 60,498 "," 60,498 ", -   ,,,,4," 60,498 "," 60,498 ", No ,,
East Darfur,SD05,Assalaya,SD05163," 27,849 ", IDPs , -   ," 8,635 "," 25,064 "," 8,796 "," 5,199 "," 13,925 "," 22,279 "," 25,064 ", -   ,,,,4," 25,064 "," 25,064 ", Yes ,,
East Darfur,SD05,Yassin,SD05165," 81,610 ", IDPs , -   ," 23,516 "," 55,568 "," 20,566 "," 15,235 "," 53,749 "," 60,134 "," 73,449 ", -   ,,,,4," 73,449 "," 73,449 ", No ,,
Central Darfur,SD06,Azum,SD06110," 71,240 ", IDPs ," 49,868 "," 26,770 "," 41,147 "," 56,992 "," 12,823 "," 35,517 "," 63,404 "," 64,116 ", -   ,,,,4," 64,116 "," 64,116 ", No ,,
Central Darfur,SD06,Bendasi,SD06112," 32,320 ", IDPs ," 22,624 "," 11,507 "," 23,529 "," 7,757 "," 5,818 "," 16,160 "," 28,280 "," 29,088 ", -   ,,,,4," 29,088 "," 29,088 ", No ,,
Central Darfur,SD06,Mukjar,SD06130," 28,960 ", IDPs , -   ," 8,260 "," 16,933 "," 6,950 "," 5,213 "," 14,480 "," 26,064 "," 26,064 ", -   ,,,,3," 26,064 "," 26,064 ", Yes ,,
Central Darfur,SD06,Gharb Jabal Marrah,SD06131," 87,478 ", IDPs ," 43,739 "," 32,571 "," 73,779 "," 32,822 "," 15,746 "," 61,235 "," 59,485 "," 78,730 ", -   ,,,,4," 78,730 "," 78,730 ", No ,,
Central Darfur,SD06,Shamal Jabal Marrah,SD06132," 168,242 ", IDPs , -   ," 48,846 "," 107,422 "," 104,142 "," 30,283 "," 83,410 "," 38,696 "," 107,422 ", -   ,,,,4," 107,422 "," 107,422 ", Yes ,,
