,,,,,," 47,648,547 ",," 4,650,651 "," 13,271,937 "," 36,736,746 "," 28,129,290 "," 5,777,613 "," 19,078,606 "," 14,630,240 "," 14,407,859 "," 16,707,719 "," 14,235,515 "," 37,181,152 "," 3,975,351 "," 10,154,358 "," 27,817,072 "," 20,287,608 "," 8,003,960 "," 21,580,925 "," 882,066 ", -   , -   ," 15,047,395 "," 25,664,832 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,,,,,,Populaton,, Previous Year's Clusters' PiN ,,,,,,,,,,, Current Clusters' PiN ,,,,,,,,,,,Absolute PiN Differences,,,,,,,,,,,% PiN Differences,,,,,,,,,,,,,,,,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Admin 3 , Admin 3 P-Code , Population , Population Group , Site Management - Old , Education Old , Food Security and Livlihoods Old , Health Old , Nutrition Old , Protection Old , CP Old  , GBV Old , Mine Action Old , Shelter NFI Old , WASH Old , Site Management - New , Education New , Food Security and Livlihoods New , Health New , Nutrition New , Protection New , CP New , GBV New , Mine Action New , Shelter NFI New , WASH New , PiN Difference for Site Management  , PiN Difference for Education , Food Security and Livlihoods , PiN Difference for Health  , PiN Difference for Nutrition , PiN Difference for Protection , PiN Difference CP , PiN Difference GBV  , PiN Difference for Mine Action  , PiN Difference for Shelter NFI ,PiN Difference for WASH,Site Management ,Education,Food Security and Livlihoods2,Health ,Nutrition,Protection,CP,GBV,Mine Action ,Shelter NFI ,WASH2,,,,,,,,,,,,,,,
South Darfur,SD03,Um Dafoug,SD03146,,," 3,835 ", IDPs ," 1,151 ", 690 ," 2,715 "," 2,301 ", 149 ," 1,918 "," 2,230 "," 2,685 "," 1,918 "," 2,866 "," 3,835 ", -   ," 1,503 ", -   , 920 , 716 ," 1,918 ", -   ,,," 1,278 "," 1,918 ",, 813 ,," -1,381 ", 567 , -   ,,,," -1,588 "," -1,917 ",-100%,120%,-100%,-60%,380%,0%,-100%,,,-60%,-50%,,,,,,,,,,,,,,,
South Darfur,SD03,Sharg Aj Jabal,SD03147,,," 42,045 ", IDPs ," 12,614 "," 7,568 "," 29,768 "," 31,534 "," 7,455 "," 29,432 "," 24,449 "," 29,432 "," 21,023 "," 19,635 "," 34,637 ", -   ," 7,449 "," 41,265 "," 34,023 "," 8,559 "," 22,854 ", -   ,,," 9,552 "," 41,265 ",, -119 ," 11,497 "," 2,489 "," 1,104 "," -6,578 ",,,," -10,083 "," 6,628 ",-100%,0%,40%,10%,10%,-20%,-100%,,,-50%,20%,,,,,,,,,,,,,,,
South Darfur,SD03,Tulus,SD03149,,," 20,775 ", IDPs ," 10,388 "," 3,740 "," 14,709 "," 15,581 "," 2,213 "," 10,388 "," 12,080 "," 10,388 "," 10,388 "," 4,415 "," 11,137 ", -   ," 3,891 "," 17,216 ", -   ," 3,949 "," 10,575 ", -   ,,," 19,035 "," 19,035 ",, 152 ," 2,507 ",," 1,736 ", 187 ,,,," 14,620 "," 7,898 ",-100%,0%,20%,-100%,80%,0%,-100%,,,330%,70%,,,,,,,,,,,,,,,
South Darfur,SD03,Al Wihda,SD03150,,," 3,945 ", IDPs ," 1,184 ", 710 ," 2,793 "," 2,959 ", 322 ," 2,762 "," 2,294 "," 2,762 "," 1,973 "," 2,119 ", -   ," 5,233 "," 2,271 "," 6,728 "," 1,794 "," 1,345 "," 3,738 ", -   ,,," 6,061 "," 6,728 "," 4,049 "," 1,561 "," 3,935 "," -1,165 "," 1,023 ", 976 ,,,," 3,942 ",,340%,220%,140%,-40%,320%,40%,-100%,,,190%,,,,,,,,,,,,,,,,
South Darfur,SD03,Nitega,SD03151,,," 28,505 ", IDPs ," 8,552 "," 5,131 "," 20,182 "," 25,655 "," 3,589 "," 19,954 "," 16,576 "," 19,954 "," 14,253 "," 23,295 "," 21,453 "," 20,304 "," 10,477 "," 26,105 "," 23,204 "," 5,414 "," 14,503 ", -   ,,," 26,104 "," 26,105 "," 11,752 "," 5,346 "," 5,923 "," -2,451 "," 1,825 "," -5,451 ",,,," 2,809 "," 4,652 ",140%,100%,30%,-10%,50%,-30%,-100%,,,10%,20%,,,,,,,,,,,,,,,
South Darfur,SD03,Gereida,SD03153,,," 139,642 ", IDPs ," 69,821 "," 25,136 "," 98,867 "," 104,732 "," 12,835 "," 97,749 "," 81,202 "," 97,750 "," 111,714 "," 126,105 "," 139,642 "," 69,821 "," 49,841 "," 125,678 "," 33,514 "," 26,068 "," 97,646 ", -   ,,," 125,677 "," 125,678 ", -   ," 24,705 "," 26,811 "," -71,218 "," 13,233 ", -103 ,,,, -428 ," -13,964 ",0%,100%,30%,-70%,100%,0%,-100%,,,0%,-10%,,,,,,,,,,,,,,,
South Darfur,SD03,Shattaya,SD03154,,, -   , IDPs , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,369 ", 718 ," 1,760 "," 1,564 ", 365 , 978 , -   ,,," 1,654 "," 1,760 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,As Sunta,SD03156,,," 100,380 ", IDPs ," 70,266 "," 18,068 "," 71,069 "," 75,285 "," 6,088 "," 70,266 "," 58,371 "," 70,266 "," 80,304 "," 34,647 "," 94,979 "," 70,791 "," 17,013 "," 85,961 "," 24,271 "," 18,879 "," 70,371 ", -   ,,," 91,017 "," 91,017 ", 525 ," -1,055 "," 14,892 "," -51,014 "," 12,791 ", 105 ,,,," 56,370 "," -3,962 ",0%,-10%,20%,-70%,210%,0%,-100%,,,160%,0%,,,,,,,,,,,,,,,
South Darfur,SD03,Kubum,SD03157,,," 9,090 ", IDPs ," 4,545 "," 1,636 "," 6,436 "," 6,818 ", 774 ," 4,545 "," 5,286 "," 6,363 "," 4,545 "," 4,553 ", -   ," 6,363 "," 3,499 "," 8,181 "," 2,182 "," 1,696 "," 4,545 ", -   ,,," 8,181 "," 8,181 "," 1,818 "," 1,863 "," 1,745 "," -4,636 ", 922 , -   ,,,," 3,628 ",,40%,110%,30%,-70%,120%,0%,-100%,,,80%,,,,,,,,,,,,,,,,
South Darfur,SD03,Rehaid Albirdi,SD03158,,," 30,621 ", IDPs ," 15,311 "," 5,512 "," 21,680 "," 22,966 "," 1,421 "," 21,435 "," 17,807 "," 21,436 "," 15,311 "," 18,534 "," 25,152 "," 21,480 "," 11,648 "," 21,593 "," 3,682 "," 5,728 "," 21,272 ", -   ,,," 21,387 "," 21,593 "," 6,169 "," 6,136 ", -87 ," -19,284 "," 4,307 ", -163 ,,,," 2,853 "," -3,559 ",40%,110%,0%,-80%,300%,0%,-100%,,,20%,-10%,,,,,,,,,,,,,,,
